graph_id,design_id,edge_max_cap_ff,edge_mean_cap_ff,edge_positive_count,edge_positive_mean_cap_ff,edge_power_count,edge_total_cap_ff,edge_zero_count,node_degree_max,node_degree_mean,node_incident_cap_max_ff,node_incident_cap_mean_ff,node_positive_incident_cap_max_ff,node_positive_incident_cap_mean_ff,num_edges,num_nodes,output_like_node_count,power_node_count,cap_count,total_cap_ff,output_node_cap_ff
alfio_raffc_pin_3:cand_0001,alfio_raffc_pin_3,33.4134,0.7640236923076923,111.0,0.8948025225225226,33.0,99.32308,19.0,17.0,14.444444444444445,70.71382,11.035897777777778,70.71382,11.035897777777778,130.0,18.0,2.0,2.0,130.0,99.32308,0.80601
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0000_baseline,alfio_raffc_pin_3,33.4134,0.7640236923076923,111.0,0.8948025225225226,33.0,99.32308,19.0,17.0,14.444444444444445,70.71382,11.035897777777778,70.71382,11.035897777777778,130.0,18.0,2.0,2.0,130.0,99.32308,11.83896
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0001_gm1_pmos_w_pstep,alfio_raffc_pin_3,33.3972,0.7650643076923077,111.0,0.8960212612612612,33.0,99.45836,19.0,17.0,14.444444444444445,70.76593,11.050928888888889,70.76593,11.050928888888889,130.0,18.0,2.0,2.0,130.0,99.45836,11.844560000000003
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0002_gm2_pmos_w_pstep,alfio_raffc_pin_3,33.0671,0.787612380952381,116.0,0.85551,33.0,99.23916,10.0,17.0,14.0,69.80371,11.026573333333333,69.80371,11.026573333333333,126.0,18.0,2.0,2.0,126.0,99.23916,11.64657
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0003_gmb_nmos_w_pstep,alfio_raffc_pin_3,36.5908,0.807900078125,110.0,0.9401019090909091,33.0,103.41121,18.0,17.0,14.222222222222221,74.17008,11.490134444444443,74.17008,11.490134444444443,128.0,18.0,2.0,2.0,128.0,103.41121,11.84383
fan_smc_pin_3:cand_0008,fan_smc_pin_3,140.91,4.529104869565218,107.0,4.867729532710281,33.0,520.84706,8.0,17.0,12.777777777777779,302.85438,57.87189555555555,302.85438,57.87189555555555,115.0,18.0,2.0,2.0,115.0,520.84706,11.9045
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0000_baseline,fan_smc_pin_3,140.91,4.529104869565218,107.0,4.867729532710281,33.0,520.84706,8.0,17.0,12.777777777777779,302.85438,57.87189555555555,302.85438,57.87189555555555,115.0,18.0,2.0,2.0,115.0,520.84706,40.15012
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0001_input_pair_w_mstep,fan_smc_pin_3,140.91,4.528712347826087,107.0,4.867307663551402,33.0,520.80192,8.0,17.0,12.777777777777779,302.83302,57.86688,302.83302,57.86688,115.0,18.0,2.0,2.0,115.0,520.80192,40.15012
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0002_input_pair_w_pstep,fan_smc_pin_3,142.17,4.401572479338843,109.0,4.886149266055046,33.0,532.59027,12.0,17.0,13.444444444444445,311.55346,59.17669666666667,311.55346,59.17669666666667,121.0,18.0,2.0,2.0,121.0,532.59027,40.50775
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0003_load2_nmos_w_pstep,fan_smc_pin_3,140.91,4.528992,107.0,4.867608224299065,33.0,520.83408,8.0,17.0,12.777777777777779,302.77898,57.87045333333333,302.77898,57.87045333333333,115.0,18.0,2.0,2.0,115.0,520.83408,40.15012
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,407.69,11.89157534351145,123.0,12.665011138211382,33.0,1557.79637,8.0,18.0,13.789473684210526,978.0604,163.9785652631579,978.0604,163.9785652631579,131.0,19.0,2.0,2.0,131.0,1557.8,0.0
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0006,leung_dfcfc2_pin_3,3176.94,37.739485629139075,136.0,41.90192889705882,35.0,5698.66233,15.0,18.0,15.894736842105264,4233.77365,599.8591926315789,4233.77365,599.8591926315789,151.0,19.0,2.0,2.0,151.0,5698.66,0.0
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,1699.47,29.846076641791043,129.0,31.002901317829455,34.0,3999.37427,5.0,18.0,14.105263157894736,3046.12992,420.9867652631579,3046.12992,420.9867652631579,134.0,19.0,2.0,2.0,134.0,3999.37,0.0
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,1750.59,24.959720314960627,112.0,28.302539999999997,35.0,3169.8844799999997,15.0,18.0,13.368421052631579,2696.52708,333.6720505263158,2696.52708,333.6720505263158,127.0,19.0,2.0,2.0,127.0,3169.88,0.0
hoilee_affc_pin_3:cand_0001,hoilee_affc_pin_3,61.45211,1.7466967307692307,131.0,2.0800358015267175,39.0,272.48469,25.0,20.0,14.857142857142858,184.06868,25.950922857142857,184.06868,25.950922857142857,156.0,21.0,2.0,2.0,156.0,272.48469,2.15939
leung_dfcfc1_pin_3:cand_0001,leung_dfcfc1_pin_3,272.18,9.515292605633803,121.0,11.16670702479339,35.0,1351.17155,21.0,18.0,14.947368421052632,789.79448,142.22858421052632,789.79448,142.22858421052632,142.0,19.0,2.0,2.0,142.0,1351.17155,173.143
leung_dfcfc2_pin_3:cand_0001,leung_dfcfc2_pin_3,93.4841,4.84072820754717,101.0,5.080368217821783,34.0,513.11719,5.0,18.0,11.157894736842104,311.05052,54.01233578947369,311.05052,54.01233578947369,106.0,19.0,2.0,2.0,106.0,513.11719,5.7062
